Kategorie,Merkmal,Top2_Wichtigkeit,Erfüllt
Einmal pro Monat,Geschwindigkeit,54.55,
Einmal pro Monat,Genauigkeit,59.09,
Einmal pro Monat,Problemlösung,59.09,
Einmal pro Monat,Menschlichkeit,27.27,
Einmal pro Monat,Bedienbarkeit,59.09,
Einmal pro Monat,Kontext,59.09,
Einmal pro Monat,Tonalität,40.91,
Einmal pro Monat,Datenschutz,36.36,
Einmal pro Monat,Geschwindigkeit,,50.0
Einmal pro Monat,Genauigkeit,,18.18
Einmal pro Monat,Problemlösung,,18.18
Einmal pro Monat,Menschlichkeit,,9.09
Einmal pro Monat,Bedienbarkeit,,86.36
Einmal pro Monat,Kontext,,9.09
Einmal pro Monat,Tonalität,,31.82
Einmal pro Monat,Datenschutz,,13.64
Einmal pro Woche,Geschwindigkeit,100.0,
Einmal pro Woche,Genauigkeit,100.0,
Einmal pro Woche,Problemlösung,75.0,
Einmal pro Woche,Menschlichkeit,50.0,
Einmal pro Woche,Bedienbarkeit,50.0,
Einmal pro Woche,Kontext,100.0,
Einmal pro Woche,Tonalität,50.0,
Einmal pro Woche,Datenschutz,100.0,
Einmal pro Woche,Geschwindigkeit,,100.0
Einmal pro Woche,Genauigkeit,,0.0
Einmal pro Woche,Problemlösung,,0.0
Einmal pro Woche,Menschlichkeit,,0.0
Einmal pro Woche,Bedienbarkeit,,75.0
Einmal pro Woche,Kontext,,25.0
Einmal pro Woche,Tonalität,,75.0
Einmal pro Woche,Datenschutz,,25.0
"Ich nutze sie nur, wenn ich keine Alternative finde",Geschwindigkeit,76.19,
"Ich nutze sie nur, wenn ich keine Alternative finde",Genauigkeit,90.48,
"Ich nutze sie nur, wenn ich keine Alternative finde",Problemlösung,85.71,
"Ich nutze sie nur, wenn ich keine Alternative finde",Menschlichkeit,38.1,
"Ich nutze sie nur, wenn ich keine Alternative finde",Bedienbarkeit,57.14,
"Ich nutze sie nur, wenn ich keine Alternative finde",Kontext,90.48,
"Ich nutze sie nur, wenn ich keine Alternative finde",Tonalität,52.38,
"Ich nutze sie nur, wenn ich keine Alternative finde",Datenschutz,71.43,
"Ich nutze sie nur, wenn ich keine Alternative finde",Geschwindigkeit,,57.14
"Ich nutze sie nur, wenn ich keine Alternative finde",Genauigkeit,,0.0
"Ich nutze sie nur, wenn ich keine Alternative finde",Problemlösung,,9.52
"Ich nutze sie nur, wenn ich keine Alternative finde",Menschlichkeit,,0.0
"Ich nutze sie nur, wenn ich keine Alternative finde",Bedienbarkeit,,38.1
"Ich nutze sie nur, wenn ich keine Alternative finde",Kontext,,0.0
"Ich nutze sie nur, wenn ich keine Alternative finde",Tonalität,,28.57
"Ich nutze sie nur, wenn ich keine Alternative finde",Datenschutz,,33.33
Mehrmals pro Woche,Geschwindigkeit,76.92,
Mehrmals pro Woche,Genauigkeit,84.62,
Mehrmals pro Woche,Problemlösung,84.62,
Mehrmals pro Woche,Menschlichkeit,15.38,
Mehrmals pro Woche,Bedienbarkeit,84.62,
Mehrmals pro Woche,Kontext,61.54,
Mehrmals pro Woche,Tonalität,15.38,
Mehrmals pro Woche,Datenschutz,84.62,
Mehrmals pro Woche,Geschwindigkeit,,61.54
Mehrmals pro Woche,Genauigkeit,,15.38
Mehrmals pro Woche,Problemlösung,,7.69
Mehrmals pro Woche,Menschlichkeit,,7.69
Mehrmals pro Woche,Bedienbarkeit,,53.85
Mehrmals pro Woche,Kontext,,15.38
Mehrmals pro Woche,Tonalität,,30.77
Mehrmals pro Woche,Datenschutz,,0.0
Seltener als einmal im Monat,Geschwindigkeit,75.68,
Seltener als einmal im Monat,Genauigkeit,81.08,
Seltener als einmal im Monat,Problemlösung,86.49,
Seltener als einmal im Monat,Menschlichkeit,21.62,
Seltener als einmal im Monat,Bedienbarkeit,72.97,
Seltener als einmal im Monat,Kontext,86.49,
Seltener als einmal im Monat,Tonalität,43.24,
Seltener als einmal im Monat,Datenschutz,83.78,
Seltener als einmal im Monat,Geschwindigkeit,,81.08
Seltener als einmal im Monat,Genauigkeit,,5.41
Seltener als einmal im Monat,Problemlösung,,10.81
Seltener als einmal im Monat,Menschlichkeit,,24.32
Seltener als einmal im Monat,Bedienbarkeit,,62.16
Seltener als einmal im Monat,Kontext,,5.41
Seltener als einmal im Monat,Tonalität,,48.65
Seltener als einmal im Monat,Datenschutz,,5.41
